longitude   latitude   availability   orbit_type   sensor_resolution   altitude
-73.987     40.756     1              LEO          1.5                 500
-118.245    34.052     0              GEO          0.5                 700
2.352       48.856     1              GEO          1.0                 600
-0.128      51.507     0              GEO          0.8                 800
-67.629     41.878     1              LEO          1.2                 550
139.691     35.689     0              MEO          0.7                 750
-0.127      51.507     1              GEO          0.6                 400
-73.981     40.712     0              LEO          1.0                 450
-118.491    34.019     1              MEO          1.2                 500
4.895       52.370     0              MEO          0.9                 700
